,O*NET-SOC Code,Title,Probability of Analytical,Predicted Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
318,27-1023.00,Floral Designers,0.17,0,"Design, cut, and arrange live, dried, or artificial flowers and foliage.",3.07,3.38,2.88,2.62,2.37,3.23,3.87,3.51
319,27-1024.00,Graphic Designers,0.44,0,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects.",3.41,3.62,3.12,3,3.17,4.51,4.46,3.85
320,27-1025.00,Interior Designers,0.67,1,"Plan, design, and furnish the internal space of rooms or buildings. Design interior environments or create physical layouts that are practical, aesthetic, and conducive to the intended purposes. May specialize in a particular field, style, or phase of interior design.",3.73,4,3.25,3.5,3.71,4.84,4.52,3.86
321,27-1026.00,Merchandise Displayers and Window Trimmers,0.21,0,"Plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions.",3.16,3.38,3,2.88,2.5,3.29,4.09,3.71
322,27-1027.00,Set and Exhibit Designers,0.7,1,"Design special exhibits and sets for film, video, television, and theater productions. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles.",3.77,3.75,3.12,3.88,2.84,5,4.62,4.05
323,27-2011.00,Actors,0.11,0,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",3.13,3,2.62,2.62,1.27,2.68,4.06,3.25
324,27-2012.00,Producers and Directors,0.74,1,"Produce or direct stage, television, radio, video, or film productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography.",3.85,4,3.69,3.5,3.5,4.57,3.92,3.7
325,27-2012.03,Media Programming Directors,0.85,1,"Direct and coordinate activities of personnel engaged in preparation of radio or television station program schedules and programs, such as sports or news.",3.88,4,3.88,3.75,4.56,5.47,4.39,4.38
326,27-2012.04,Talent Directors,0.58,1,"Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions.",3.39,4,3.12,3.25,2.58,3.96,3.25,3.28
327,27-2012.05,Media Technical Directors/Managers,0.67,1,"Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs.",3.77,4,3.62,3.62,3.79,4.59,3.3,3.03
328,27-2021.00,Athletes and Sports Competitors,0.22,0,Compete in athletic events.,2.95,3.12,3,2.88,4.29,4.65,3.09,3.27
329,27-2022.00,Coaches and Scouts,0.79,1,Instruct or coach groups or individuals in the fundamentals of sports for the primary purpose of competition. Demonstrate techniques and methods of participation. May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition. Those required to hold teaching certifications should be reported in the appropriate teaching category.,3.97,4,4,3.88,3.4,3.99,3.42,3.81
330,27-2023.00,"Umpires, Referees, and Other Sports Officials",0.21,0,"Officiate at competitive athletic or sporting events. Detect infractions of rules and decide penalties according to established regulations. Includes all sporting officials, referees, and competition judges.",2.7,3.5,3,2.75,3.21,2.94,2.43,3.57
331,27-2031.00,Dancers,0.06,0,"Perform dances. May perform on stage, for broadcasting, or for video recording.",2.87,2.62,2.88,2.12,1.25,2.52,3.9,3.34
332,27-2032.00,Choreographers,0.57,1,Create new dance routines. Rehearse performance of routines. May direct and stage presentations.,3.59,3.5,3.25,3.12,3.25,5.36,4.71,4
333,27-2041.00,Music Directors and Composers,0.47,0,"Conduct, direct, plan, and lead instrumental or vocal performances by musical artists or groups, such as orchestras, bands, choirs, and glee clubs; or create original works of music.",3.53,3.56,3.06,3.25,3.53,4.75,4.46,3.89
334,27-2042.00,Musicians and Singers,0.14,0,"Play one or more musical instruments or sing. May perform on stage, for broadcasting, or for sound or video recording.",3.08,3.06,2.88,2.44,3.56,3.74,3.15,3.34
335,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,0.51,1,"Speak or read from scripted materials, such as news reports or commercial messages, on radio, television, or other communications media. May play and queue music, announce artist or title of performance, identify station, or interview guests.",3.38,3.88,3.25,3,3.87,4.3,3.73,3.76
336,27-3023.00,"News Analysts, Reporters, and Journalists",0.66,1,"Narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyze information through interview, investigation, or observation.",3.7,4.06,3.75,3.19,3.69,3.83,3.65,3.89
337,27-3031.00,Public Relations Specialists,0.78,1,"Promote or create an intended public image for individuals, groups, or organizations. May write or select material for release to various communications media. May specialize in using social media.",3.59,4,3.62,3.38,3.65,5.11,3.79,3.92
338,27-3041.00,Editors,0.66,1,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",3.73,4,3.88,3.12,3.46,4.08,4,3.84
339,27-3042.00,Technical Writers,0.5,0,"Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions. May assist in layout work.",3.37,3.88,3.62,3,4.21,3.98,3.54,3.83
340,27-3043.00,Writers and Authors,0.37,0,"Originate and prepare written material, such as scripts, stories, advertisements, and other material.",3.48,3.62,3.12,3,2.86,4.24,4.61,3.53
341,27-3043.05,"Poets, Lyricists and Creative Writers",0.69,1,"Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance.",3.82,3.88,3.88,3.38,2.91,4.73,4.65,3.69
342,27-3091.00,Interpreters and Translators,0.39,0,"Interpret oral or sign language, or translate written text from one language into another.",3.19,3.88,3,3,3.29,3.58,3.42,3.66
343,27-3092.00,Court Reporters and Simultaneous Captioners,0.04,0,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers.",2.25,2.75,2.38,2,2.45,3.28,3.65,3.66
344,27-4011.00,Audio and Video Technicians,0.46,0,"Set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events.",3.36,3.75,3,3,3.69,4.29,3.85,3.92
345,27-4012.00,Broadcast Technicians,0.36,0,"Set up, operate, and maintain the electronic equipment used to acquire, edit, and transmit audio and video for radio or television programs. Control and adjust incoming and outgoing broadcast signals to regulate sound volume, signal strength, and signal clarity. Operate satellite, microwave, or other transmitter equipment to broadcast radio or television programs.",3.25,3.38,3.12,3.25,3.65,4.17,3.45,3.86
346,27-4014.00,Sound Engineering Technicians,0.49,0,"Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions.",3.32,3.62,3.12,3.25,4.21,4.58,3.44,3.89
347,27-4021.00,Photographers,0.34,0,"Photograph people, landscapes, merchandise, or other subjects. May use lighting equipment to enhance a subject's appearance. May use editing software to produce finished images and prints. Includes commercial and industrial photographers, scientific photographers, and photojournalists.",3.47,3.25,3.12,3,3.27,4.66,3.73,3.23
348,27-4031.00,"Camera Operators, Television, Video, and Film",0.33,0,"Operate television, video, or film camera to record images or scenes for television, video, or film productions.",3.16,3.5,3,3.12,2.24,3.63,3.37,3.34
349,27-4032.00,Film and Video Editors,0.41,0,"Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images.",3.55,3.5,3.25,3.12,3.67,4.38,4.49,4.04
